service,delta,fps,pixel,timestamp,device_type,cpu,memory,consumption,gpu
CV,99.61748123168945,25,720,2024-06-13 17:14:12.613928,Laptop,91.6,82.6554830523301,25,0
CV,110.70966720581055,25,720,2024-06-13 17:14:12.755872,Laptop,92.0,82.68866728391058,25,0
CV,102.11372375488281,25,720,2024-06-13 17:14:12.874700,Laptop,91.1,82.65426674765536,25,0
CV,102.33879089355469,25,720,2024-06-13 17:14:12.993449,Laptop,95.9,82.68089030553574,25,0
CV,124.59230422973633,25,720,2024-06-13 17:14:13.152627,Laptop,98.0,82.6577559449041,25,0
CV,128.05938720703125,25,720,2024-06-13 17:14:13.307505,Laptop,94.0,82.71360767269562,25,0
CV,115.7379150390625,25,720,2024-06-13 17:14:13.444016,Laptop,90.3,82.61901848389957,25,0
CV,112.39433288574219,25,720,2024-06-13 17:14:13.577067,Laptop,89.1,82.65269415171225,25,0
CV,109.27772521972656,25,720,2024-06-13 17:14:13.703297,Laptop,93.6,82.61677016313718,25,0
CV,166.07046127319336,25,720,2024-06-13 17:14:13.887513,Laptop,94.2,82.65199385508136,25,0
CV,84.3806266784668,25,720,2024-06-13 17:14:13.983381,Laptop,88.2,82.62140194962582,24,0
CV,90.50655364990234,25,720,2024-06-13 17:14:14.087842,Laptop,91.0,82.65791566167957,25,0
CV,90.56568145751953,25,720,2024-06-13 17:14:14.193994,Laptop,85.6,82.61321953635941,24,0
CV,84.78116989135742,25,720,2024-06-13 17:14:14.294774,Laptop,84.3,82.62467000057006,24,0
CV,86.7607593536377,25,720,2024-06-13 17:14:14.393032,Laptop,83.1,82.583377071158,24,0
CV,87.37301826477051,25,720,2024-06-13 17:14:14.493619,Laptop,84.8,82.61131522095955,24,0
CV,90.36064147949219,25,720,2024-06-13 17:14:14.600179,Laptop,82.4,82.58658369257323,24,0
CV,86.83156967163086,25,720,2024-06-13 17:14:14.700125,Laptop,87.4,82.62025936038592,24,0
CV,89.75338935852051,25,720,2024-06-13 17:14:14.803036,Laptop,83.7,82.58664512210224,24,0
CV,82.08727836608887,25,720,2024-06-13 17:14:14.897180,Laptop,82.6,82.62173366908256,24,0
CV,84.02729034423828,25,720,2024-06-13 17:14:14.995677,Laptop,82.2,82.5874682777912,24,0
CV,87.77284622192383,25,720,2024-06-13 17:14:15.096321,Laptop,84.3,82.60933719012489,24,0
CV,82.62753486633301,25,720,2024-06-13 17:14:15.192279,Laptop,86.2,82.58149732756976,24,0
CV,91.5069580078125,25,720,2024-06-13 17:14:15.304874,Laptop,83.1,82.61808475505835,24,0
CV,89.32042121887207,25,720,2024-06-13 17:14:15.407383,Laptop,84.2,82.58499881072431,24,0
CV,84.40613746643066,25,720,2024-06-13 17:14:15.512024,Laptop,83.1,82.62021021676269,24,0
CV,82.39412307739258,25,720,2024-06-13 17:14:15.606979,Laptop,83.7,82.56616451712459,24,0
CV,105.8800220489502,25,720,2024-06-13 17:14:15.726374,Laptop,84.5,82.60474226135365,24,0
