service,ip,device_type,timestamp,expected,reality,evidence,v1,v2
QR-1,192.168.31.205,NX,2024-07-06 14:59:24.944388,0.9562414873894447,1.0,0.7237585126105553,,
QR-1,192.168.31.205,NX,2024-07-06 14:59:26.126876,0.9562414873894447,1.0,0.7637585126105553,,
QR-1,192.168.31.205,NX,2024-07-06 14:59:27.195517,0.9562414873894447,1.0,0.8037585126105553,,
QR-1,192.168.31.205,NX,2024-07-06 14:59:28.297372,0.9562414873894447,1.0,0.8437585126105553,,
QR-1,192.168.31.205,NX,2024-07-06 14:59:29.352204,0.9562414873894447,1.0,0.8837585126105553,,
QR-1,192.168.31.205,NX,2024-07-06 14:59:30.431854,0.9562414873894447,1.0,0.9337585126105553,,
QR-1,192.168.31.205,NX,2024-07-06 14:59:31.538326,0.9562414873894447,1.0,0.9737585126105553,,
QR-1,192.168.31.205,NX,2024-07-06 14:59:32.697618,0.9562414873894447,1.0,1.0137585126105553,,
QR-1,192.168.31.205,NX,2024-07-06 14:59:34.647372,0.9635924222024681,1.0,0.0864075777975319,,
QR-1,192.168.31.205,NX,2024-07-06 14:59:36.517681,0.9635924222024681,1.0,0.1564075777975319,,
QR-1,192.168.31.205,NX,2024-07-06 14:59:37.864985,0.9635924222024681,1.0,0.2064075777975319,,
QR-1,192.168.31.205,NX,2024-07-06 14:59:38.942929,0.9635924222024681,1.0,0.24640757779753192,,
QR-1,192.168.31.205,NX,2024-07-06 14:59:40.256255,0.9635924222024681,1.0,0.2964075777975319,,
QR-1,192.168.31.205,NX,2024-07-06 14:59:41.338028,0.9635924222024681,1.0,0.3364075777975319,,
QR-1,192.168.31.205,NX,2024-07-06 14:59:42.421379,0.9635924222024681,1.0,0.3764075777975319,,
QR-1,192.168.31.205,NX,2024-07-06 14:59:43.483092,0.9635924222024681,1.0,0.4264075777975319,,
QR-1,192.168.31.205,NX,2024-07-06 14:59:44.681267,0.9635924222024681,1.0,0.4664075777975319,,
QR-1,192.168.31.205,NX,2024-07-06 14:59:45.797786,0.9635924222024681,1.0,0.5064075777975319,,
QR-1,192.168.31.205,NX,2024-07-06 14:59:46.998498,0.9635924222024681,1.0,0.5464075777975319,,
QR-1,192.168.31.205,NX,2024-07-06 14:59:48.273484,0.9635924222024681,1.0,0.596407577797532,,
QR-1,192.168.31.205,NX,2024-07-06 14:59:49.355680,0.9635924222024681,1.0,0.6364075777975319,,
QR-1,192.168.31.205,NX,2024-07-06 14:59:50.523812,0.9635924222024681,1.0,0.6764075777975319,,
QR-1,192.168.31.205,NX,2024-07-06 14:59:51.604040,0.9635924222024681,1.0,0.726407577797532,,
QR-1,192.168.31.205,NX,2024-07-06 14:59:52.715998,0.9635924222024681,1.0,0.7664075777975319,,
QR-1,192.168.31.205,NX,2024-07-06 14:59:53.898354,0.9635924222024681,1.0,0.8064075777975319,,
