service,ip,device_type,timestamp,cpu
CV,192.168.31.183,AGX,2024-07-05 12:19:34.498892,5.6
CV,192.168.31.183,AGX,2024-07-05 12:19:34.718348,5.1
CV,192.168.31.183,AGX,2024-07-05 12:19:34.937820,6.1
CV,192.168.31.183,AGX,2024-07-05 12:19:35.157186,9.2
CV,192.168.31.183,AGX,2024-07-05 12:19:35.376618,6.8
CV,192.168.31.183,AGX,2024-07-05 12:19:35.595746,4.6
CV,192.168.31.183,AGX,2024-07-05 12:19:35.815009,5.3
CV,192.168.31.183,AGX,2024-07-05 12:19:36.034483,8.5
CV,192.168.31.183,AGX,2024-07-05 12:19:36.254005,7.9
CV,192.168.31.183,AGX,2024-07-05 12:19:36.473859,5.6
CV,192.168.31.183,AGX,2024-07-05 12:19:36.693390,5.3
CV,192.168.31.183,AGX,2024-07-05 12:19:36.912632,6.0
CV,192.168.31.183,AGX,2024-07-05 12:19:37.132009,8.8
CV,192.168.31.183,AGX,2024-07-05 12:19:37.351896,7.3
